,houseid,max_charging_speed,required_charge,available_after,available_before
0,MAC000440,3.0,7.696094717929608,2013-01-01 20:30:00,2013-01-02 05:00:00
1,MAC000440,3.0,17.42015365183235,2013-01-02 16:30:00,2013-01-03 08:30:00
2,MAC000440,3.0,3.7589940280223,2013-01-03 12:30:00,2013-01-04 08:00:00
3,MAC000440,3.0,9.32295967738061,2013-01-04 19:30:00,2013-01-05 18:00:00
4,MAC000440,3.0,7.7094082203292,2013-01-06 00:00:00,2013-01-06 16:00:00
5,MAC000440,3.0,0.6562286037344358,2013-01-06 16:30:00,2013-01-07 11:30:00
6,MAC000440,3.0,13.860327328264127,2013-01-07 20:30:00,2013-01-08 06:30:00
7,MAC000440,3.0,10.80524678027626,2013-01-08 17:00:00,2013-01-09 07:30:00
8,MAC000440,3.0,2.4306565130794056,2013-01-09 18:00:00,2013-01-10 08:30:00
9,MAC000440,3.0,3.934490977565388,2013-01-10 19:30:00,2013-01-11 15:30:00
10,MAC000440,3.0,5.675905766665302,2013-01-12 00:00:00,2013-01-12 10:00:00
11,MAC000440,3.0,4.238347825787538,2013-01-12 11:00:00,2013-01-13 10:30:00
12,MAC000440,3.0,1.1830380393093962,2013-01-13 19:30:00,2013-01-14 14:00:00
13,MAC000440,3.0,2.3643287343132493,2013-01-14 14:30:00,2013-01-15 06:30:00
14,MAC000440,3.0,12.466775183055761,2013-01-15 09:30:00,2013-01-16 07:00:00
15,MAC000440,3.0,3.9307786812895738,2013-01-16 16:30:00,2013-01-17 08:00:00
16,MAC000440,3.0,13.898124003661833,2013-01-17 17:00:00,2013-01-18 09:00:00
17,MAC000440,3.0,6.505121826606313,2013-01-18 12:00:00,2013-01-19 12:30:00
18,MAC000440,3.0,11.582214390922156,2013-01-19 21:00:00,2013-01-20 18:00:00
19,MAC000440,3.0,5.015846063854339,2013-01-20 21:30:00,2013-01-21 07:30:00
20,MAC000440,3.0,4.73222960215795,2013-01-21 19:00:00,2013-01-22 07:00:00
21,MAC000440,3.0,8.667646049856387,2013-01-22 16:30:00,2013-01-23 07:00:00
22,MAC000440,3.0,4.73611488996516,2013-01-23 17:00:00,2013-01-24 07:00:00
23,MAC000440,3.0,13.019060426020806,2013-01-24 18:00:00,2013-01-25 07:00:00
24,MAC000440,3.0,22.375275652799512,2013-01-25 20:00:00,2013-01-26 09:30:00
25,MAC000440,3.0,2.366356027769513,2013-01-26 12:00:00,2013-01-27 10:30:00
26,MAC000440,3.0,4.730395942535361,2013-01-27 23:30:00,2013-01-28 08:30:00
27,MAC000440,3.0,4.662341599067059,2013-01-28 09:00:00,2013-01-29 18:00:00
28,MAC000440,3.0,0.3860215617665895,2013-01-29 18:30:00,2013-01-30 06:00:00
29,MAC000440,3.0,1.513743978700084,2013-01-30 09:00:00,2013-01-31 09:00:00
30,MAC000440,3.0,5.413823341662015,2013-01-31 15:30:00,2013-02-01 08:30:00
